day,humidity,wind_speed,wind_direction,cloudcover,pressure,sunshine,maxtemp,mintemp,rainfall
1,49.963209507789,5.553987865158589,94.21404614492614,6.72702994208898,1007.1995878283593,4.723626243329305,36.20642385194555,5.775989094577749,no
2,96.05714451279329,16.257028421350743,88.91236766591993,7.966813971913723,1030.5432329299986,5.6812279125002565,24.309659052629158,8.735450564622587,no
3,78.5595153449124,26.18837507629225,326.2516489875732,2.50467898792499,1026.0160929790159,10.254568718426164,41.80986408387037,21.62491610179885,yes
4,67.89267873576293,21.966746592286835,89.83663194582219,6.248740996069989,965.3899904693774,4.080052632718706,35.32790597673104,20.335367126766712,no
5,32.48149123539492,24.196834435843492,97.90190140630716,5.717459831437487,964.9249469741474,10.435796217746056,23.930097088923855,12.012853829142937,no
6,32.47956162689621,19.763501001321522,273.38337447046695,8.32830376788271,976.8174367744913,1.057613171720298,44.05845143703017,12.53621255548425,no
7,24.64668897345596,20.768296935535574,161.9063432821944,9.060870604812605,986.1074726341037,9.32158124650357,32.959136583383014,15.671088671071589,no
8,89.29409166199481,25.47586954695958,279.6158005038652,0.12156771477386807,990.8455581408483,10.170571596656837,21.822461296791374,5.0048200937026905,yes
9,68.0892009394567,7.490040265775578,23.531816723178686,6.740199190587926,1017.9697216833346,2.181811834048065,35.67082261037668,9.824886720760556,no
10,76.64580622368364,14.682748909294215,175.52562972241836,0.5183579911972902,955.6680432165836,5.164158388466405,26.329972675320256,9.16463617216429,yes
11,21.646759543664196,6.636283254588067,12.100896065981747,5.488586650773559,953.4672704226066,1.9859972959638674,40.09233629693256,10.009658934995269,no
12,97.59278817295954,29.63004023989941,22.555153243927627,2.876327290436782,989.1910562943909,8.479249547930614,40.44555183915477,21.118116850668827,no
13,86.59541126403374,28.321780190598396,326.31748320398793,3.067765995221412,1019.7163692137981,6.424173216739881,44.473683896366545,10.593477130928864,no
14,36.987128854262096,1.182804341055177,50.12833360233426,3.5295850345235658,969.3435342956483,7.623880160499852,32.5467382756126,8.830426441002963,yes
15,34.54599737656805,21.167255175470654,191.67144561907816,6.212924490496102,1014.1504481256252,2.357843603474534,31.373921993193427,15.085269215860631,no
16,34.6723607882747,27.757449522469976,147.99441693625437,3.340499656687692,975.98281379403,2.5409503446290342,38.83689013616201,22.31290072745464,no
17,44.33937943676302,5.417260353820006,125.04359745318337,7.326990505902804,1038.6086108813515,0.4979679061188764,23.311766408548163,9.826994076749997,no
18,61.98051453057903,17.038356916578884,323.94000444741806,4.045273855738697,1039.5689944266617,3.8648104223487567,33.672887844828104,6.570724855855974,no
19,54.55560149136926,27.464648927641257,7.85642283917622,0.6835320030995862,979.7287204281326,6.716935936004099,33.65619000327128,12.128094716993294,no
20,43.298331215843355,1.0183793575739652,238.96428702321208,7.837598424841072,972.999375396324,10.295218967967946,22.23682807025968,19.953036491299557,no
