ride_id,travel_date,travel_time,travel_from,travel_to,car_type,max_capacity,payment_method,seat_number
1,2024-04-12,17:29:00,Location_E,Location_E,van,50,cash,38
2,2024-12-14,11:47:00,Location_E,Location_D,bus,30,mobile_payment,27
3,2024-09-27,04:19:00,Location_B,Location_B,van,14,card,14
4,2024-04-16,11:20:00,Location_E,Location_D,bus,30,cash,28
5,2024-03-12,10:08:00,Location_A,Location_E,minibus,50,cash,36
6,2024-07-07,17:24:00,Location_B,Location_C,bus,14,cash,14
7,2024-01-21,02:51:00,Location_E,Location_D,bus,14,cash,14
8,2024-04-12,16:13:00,Location_B,Location_B,bus,50,mobile_payment,40
9,2024-05-01,00:16:00,Location_E,Location_E,minibus,14,card,14
10,2024-08-02,07:04:00,Location_E,Location_D,van,30,mobile_payment,30
11,2024-11-26,04:40:00,Location_E,Location_E,van,50,card,36
12,2024-03-28,02:18:00,Location_D,Location_E,bus,30,cash,24
13,2024-04-09,22:08:00,Location_E,Location_A,van,14,mobile_payment,14
14,2024-12-25,21:29:00,Location_D,Location_C,minibus,50,mobile_payment,34
15,2024-05-31,17:15:00,Location_C,Location_A,minibus,14,mobile_payment,14
16,2024-05-10,00:01:00,Location_A,Location_E,minibus,50,card,39
17,2024-05-29,13:45:00,Location_B,Location_B,minibus,50,card,34
18,2024-11-04,00:25:00,Location_B,Location_B,van,50,cash,42
19,2024-09-14,15:14:00,Location_C,Location_A,bus,50,mobile_payment,32
20,2024-12-09,14:43:00,Location_E,Location_B,bus,50,cash,29
21,2024-10-20,15:13:00,Location_A,Location_E,bus,14,card,14
22,2024-07-10,23:46:00,Location_C,Location_D,minibus,50,cash,33
23,2024-10-03,22:14:00,Location_C,Location_E,van,30,mobile_payment,24
24,2024-06-09,18:07:00,Location_B,Location_D,van,50,mobile_payment,38
25,2024-11-09,01:01:00,Location_D,Location_B,van,30,card,24
26,2024-01-22,09:34:00,Location_D,Location_C,van,14,card,14
27,2024-09-09,22:48:00,Location_E,Location_C,van,50,cash,27
28,2024-08-23,07:27:00,Location_E,Location_E,van,50,mobile_payment,43
29,2024-12-10,22:03:00,Location_C,Location_E,bus,30,cash,21
30,2024-02-18,13:52:00,Location_E,Location_B,minibus,50,card,31
31,2024-02-28,09:28:00,Location_D,Location_C,bus,14,card,14
32,2024-06-18,00:03:00,Location_A,Location_C,van,14,cash,14
33,2024-07-06,00:48:00,Location_B,Location_E,minibus,50,mobile_payment,41
34,2024-09-27,16:38:00,Location_D,Location_C,minibus,30,card,28
35,2024-07-08,22:31:00,Location_E,Location_E,minibus,14,cash,13
36,2024-06-23,19:14:00,Location_B,Location_A,minibus,50,mobile_payment,36
37,2024-02-20,12:59:00,Location_B,Location_C,van,30,cash,22
38,2024-12-29,01:59:00,Location_C,Location_D,van,30,card,28
39,2024-02-24,18:23:00,Location_E,Location_B,minibus,14,mobile_payment,14
40,2024-08-31,12:23:00,Location_C,Location_E,van,50,card,37
41,2024-11-15,10:58:00,Location_B,Location_C,minibus,14,card,14
42,2024-05-10,21:14:00,Location_C,Location_C,van,30,card,18
43,2024-11-02,09:40:00,Location_E,Location_E,minibus,14,card,14
44,2024-05-14,08:51:00,Location_D,Location_D,van,50,card,41
45,2024-01-21,00:16:00,Location_A,Location_C,bus,14,cash,14
46,2024-11-24,11:09:00,Location_D,Location_A,bus,30,card,24
47,2024-06-15,04:28:00,Location_B,Location_B,van,14,card,14
48,2024-09-30,17:46:00,Location_D,Location_E,van,30,card,26
49,2024-03-29,05:38:00,Location_C,Location_C,bus,30,mobile_payment,28
50,2024-11-11,16:05:00,Location_E,Location_B,van,30,card,20
51,2024-01-14,07:11:00,Location_D,Location_E,minibus,14,mobile_payment,14
52,2024-08-29,20:13:00,Location_D,Location_E,van,50,cash,34
53,2024-09-21,11:54:00,Location_E,Location_E,van,30,card,26
54,2024-12-11,09:53:00,Location_C,Location_D,bus,14,cash,12
55,2024-02-22,19:14:00,Location_A,Location_A,bus,30,cash,26
56,2024-12-05,06:57:00,Location_D,Location_E,van,14,card,12
57,2024-04-01,08:09:00,Location_B,Location_D,minibus,30,cash,26
58,2024-09-20,09:47:00,Location_C,Location_E,van,14,card,12
59,2024-02-04,06:27:00,Location_C,Location_E,minibus,30,cash,28
60,2024-07-24,04:54:00,Location_D,Location_D,minibus,30,mobile_payment,30
61,2024-03-21,02:49:00,Location_E,Location_A,van,30,mobile_payment,30
62,2024-02-19,10:14:00,Location_D,Location_B,minibus,50,mobile_payment,41
63,2024-12-25,20:51:00,Location_D,Location_C,bus,14,card,11
64,2024-01-02,04:55:00,Location_E,Location_E,minibus,50,cash,34
65,2024-02-23,11:03:00,Location_B,Location_A,minibus,14,mobile_payment,14
66,2024-04-15,14:08:00,Location_E,Location_C,minibus,30,card,20
67,2024-09-16,06:41:00,Location_D,Location_E,bus,14,mobile_payment,14
68,2024-11-05,22:44:00,Location_A,Location_C,bus,14,mobile_payment,14
69,2024-07-09,07:43:00,Location_E,Location_D,van,30,card,30
70,2024-08-05,21:23:00,Location_B,Location_A,minibus,30,mobile_payment,24
71,2024-02-13,18:57:00,Location_E,Location_A,bus,30,card,28
72,2024-06-10,00:15:00,Location_E,Location_B,minibus,14,mobile_payment,14
73,2024-07-20,21:48:00,Location_C,Location_B,minibus,30,card,14
74,2024-09-26,17:42:00,Location_C,Location_C,van,30,mobile_payment,28
75,2024-12-16,17:06:00,Location_D,Location_D,minibus,14,cash,11
76,2024-10-30,17:25:00,Location_D,Location_C,bus,50,cash,32
77,2024-09-27,07:05:00,Location_E,Location_E,van,14,card,13
78,2024-08-02,06:22:00,Location_A,Location_A,van,14,card,14
79,2024-09-08,21:41:00,Location_D,Location_C,minibus,14,cash,8
80,2024-07-08,10:56:00,Location_E,Location_C,minibus,30,card,19
81,2024-10-22,12:08:00,Location_E,Location_A,bus,14,mobile_payment,14
82,2024-07-31,06:08:00,Location_E,Location_A,minibus,50,mobile_payment,35
83,2024-07-26,12:57:00,Location_E,Location_B,bus,14,mobile_payment,14
84,2024-08-24,02:34:00,Location_E,Location_B,minibus,14,mobile_payment,14
85,2024-12-03,00:20:00,Location_C,Location_A,bus,30,mobile_payment,30
86,2024-02-22,19:33:00,Location_B,Location_C,minibus,30,mobile_payment,26
87,2024-10-06,02:14:00,Location_B,Location_E,van,50,mobile_payment,40
88,2024-08-04,23:31:00,Location_E,Location_C,bus,14,card,7
89,2024-09-08,05:44:00,Location_D,Location_E,van,14,cash,12
90,2024-07-06,20:32:00,Location_A,Location_A,van,14,mobile_payment,14
91,2024-02-10,19:18:00,Location_E,Location_E,van,14,mobile_payment,14
92,2024-06-05,00:27:00,Location_A,Location_B,van,14,card,14
93,2024-01-15,20:53:00,Location_C,Location_A,bus,14,card,7
94,2024-10-27,01:14:00,Location_B,Location_D,minibus,30,cash,27
95,2024-03-05,13:18:00,Location_C,Location_E,van,50,cash,38
96,2024-12-10,10:14:00,Location_D,Location_E,minibus,14,card,14
97,2024-11-22,05:51:00,Location_D,Location_D,bus,14,mobile_payment,14
98,2024-01-09,08:36:00,Location_E,Location_D,minibus,30,mobile_payment,29
99,2024-12-09,19:33:00,Location_D,Location_A,bus,14,mobile_payment,14
100,2024-05-08,05:25:00,Location_D,Location_C,minibus,30,mobile_payment,30
101,2024-05-15,17:27:00,Location_C,Location_D,bus,50,mobile_payment,42
102,2024-03-03,22:50:00,Location_A,Location_E,bus,14,card,14
103,2024-05-18,08:31:00,Location_B,Location_D,minibus,50,cash,35
104,2024-03-21,20:55:00,Location_D,Location_A,van,14,cash,13
105,2024-06-11,05:13:00,Location_D,Location_A,van,50,card,33
106,2024-10-15,23:12:00,Location_C,Location_E,minibus,50,mobile_payment,31
107,2024-09-17,10:11:00,Location_B,Location_E,van,14,card,14
108,2024-08-18,18:18:00,Location_C,Location_E,van,50,cash,36
109,2024-02-10,20:26:00,Location_A,Location_C,bus,30,cash,23
110,2024-01-28,18:23:00,Location_C,Location_E,minibus,30,cash,21
